FILENAME,Dataset,% DKO,% DKN,% TOT,Modal name,% Name Agreement (/Fq names),Nb diff names,H-value,Modal category,% Category Agreement,Hcat-value,Non-Normative Category,Familiarity Mean,Familiarity StDev,Visual Complexity Mean,Visual Complexity StDev,Object Agreement Mean,Object Agreement StDev,Viewpoint Agreement Mean,Viewpoint Agreement StDev,Manipulability Mean,Manipulability StDev,Score
candycane01a,BOSS-2014 (v.2),0.0,0.0,0.0,candy cane,0.9761904761904762,2,0.1623261801753929,Food,0.9090909090909091,0.5229784263810124,,4.904761904761905,0.2971017571861735,1.6904761904761905,0.9236221178016747,4.28125,0.9240295694193397,3.1875,1.2556324713967086,2.4411764705882355,1.1062132095053536,0.9067
tomato01,BOSS-2010 (v.1),0.0,0.0,0.0,tomato,1.0,1,0.0,Food,0.96875,0.2006223243127146,"Fruit, vegetable, nut",4.743589743589744,0.6373443553217204,1.6923076923076923,0.8630986451472744,4.84375,0.5741403110513958,4.666666666666667,0.777281587757402,1.46875,1.0467884834255,0.8926
nosmokingsign,BOSS-2014 (v.2),0.0,0.0,0.0,No smoking sign,0.9047619047619048,4,0.5965734820440876,Building infrastructure,0.42424242424242425,2.228860501684415,,4.857142857142857,0.41739193556484017,1.4761904761904763,0.5942035143723493,4.375,0.9069623173877128,3.4375,1.2684127749837335,2.6470588235294117,1.5152228147216893,0.8854
exitsign,BOSS-2014 (v.2),0.0,0.0,0.0,exit sign,0.9523809523809523,3,0.3238144752669867,Building infrastructure,0.53125,2.2188548967005404,,4.857142857142857,0.41739193556484017,1.6428571428571428,0.9581849857407256,4.125,1.1845783243211963,4.064516129032258,1.12355044007728,2.264705882352941,1.2627248921668104,0.8732
lightswitch01,BOSS-2014 (v.2),0.0,0.0,0.0,Light switch,0.9761904761904762,2,0.1623261801753929,Electronic device & accessory,0.3939393939393939,1.9948474118186046,,4.833333333333333,0.5372316876161185,1.6428571428571428,0.726549767366235,4.03125,1.0620848334989004,4.0625,1.293594641599212,4.264705882352941,1.1094312910952706,0.8654
basketball01,BOSS-2014 (v.2),0.0,0.0,0.0,Basketball,0.9523809523809523,3,0.3238144752669867,Outdoor activity & sport item,0.9393939393939394,0.32984607020714635,,4.785714285714286,0.4703768227715907,1.8333333333333333,1.0573013661495898,4.451612903225806,1.120675679442818,4.32258064516129,0.8712862818535798,4.264705882352941,0.9941898949582403,0.8572
leafrake,BOSS-2014 (v.2),0.0,0.023809523809523808,0.023809523809523808,rake,0.9,3,0.5501234060351945,Hand labour tool & accessory,0.65625,1.2700599575900713,Tool,4.785714285714286,0.6062968075252669,1.5714285714285714,0.7034013926370656,4.4375,1.0453429750487975,4.0,1.3678332288460768,4.147058823529412,1.0482988511314042,0.8554
banana01,BOSS-2010 (v.1),0.0,0.0,0.0,banana,1.0,1,0.0,Food,0.9696969696969697,0.19590927087360496,"Fruit, vegetable, nut",4.7105263157894735,0.6110644119116883,2.0,1.065427207806866,4.75,0.5679618342470648,3.8484848484848486,1.0037807318213265,3.393939393939394,1.619015787820527,0.8547
knee,BOSS-2014 (v.2),0.0,0.0,0.0,Knee,0.8809523809523809,3,0.612560886391352,Bodypart,1.0,0.0,Human body part,4.928571428571429,0.34165002367328967,2.0238095238095237,1.297052855197265,4.125,1.0998533626601497,3.1875,1.3545026464923717,3.8181818181818183,1.3568010505999366,0.8536
mattress,BOSS-2014 (v.2),0.0,0.0,0.0,mattress,0.9761904761904762,2,0.1623261801753929,Furniture,0.9090909090909091,0.5229784263810124,,4.857142857142857,0.4722250688807634,2.0476190476190474,0.9093653898798139,4.0625,1.293594641599212,3.6875,1.4241579289010096,3.264705882352941,1.2384942844808056,0.8516
elbow,BOSS-2014 (v.2),0.0,0.0,0.0,elbow,0.8571428571428571,4,0.7704769453520163,Bodypart,0.90625,0.4488644887230293,Human body part,4.904761904761905,0.3702025687755152,1.880952380952381,1.2337209423247941,4.09375,1.1460837947184006,3.75,1.4142135623730951,3.4411764705882355,1.5607142201586257,0.8435
orange,BOSS-2010 (v.1),0.0,0.0,0.0,orange,1.0,1,0.0,Food,1.0,0.0,"Fruit, vegetable, nut",4.666666666666667,0.7374684055081994,1.9230769230769231,0.9565457422857625,4.757575757575758,0.7917663414126277,4.090909090909091,1.1555203471714695,1.8181818181818181,1.3796409282523807,0.8434
nose,BOSS-2014 (v.2),0.0,0.0,0.0,nose,0.8809523809523809,2,0.526617065571428,Bodypart,1.0,0.0,Human body part,4.9523809523809526,0.2155402687045224,2.3095238095238093,1.3702073056274695,4.09375,1.0883362561504661,3.4375,1.5437177579237185,4.029411764705882,1.3813759964230456,0.8428
ear,BOSS-2014 (v.2),0.0,0.0,0.0,ear,0.8333333333333334,2,0.6500224216483541,Bodypart,0.9696969696969697,0.19590927087360496,Human body part,4.9523809523809526,0.2155402687045224,2.4285714285714284,1.5164602098123943,4.40625,0.945596756448779,4.28125,1.0544643954588142,3.8823529411764706,1.4091627835156704,0.8417
locker,BOSS-2014 (v.2),0.0,0.0,0.0,locker,0.9761904761904762,2,0.1623261801753929,Building infrastructure,0.3939393939393939,1.934241351212544,,4.761904761904762,0.4843665115774894,1.5952380952380953,0.5868279263112164,3.96875,1.1495967034769894,4.46875,0.9152604071537377,3.1176470588235294,1.2495988661179265,0.8371
toiletpaper01a,BOSS-2010 (v.1),0.0,0.0,0.0,toilet paper,0.9210526315789473,4,0.5235878925732215,Skincare & bathroom item,0.9696969696969697,0.19590927087360496,,4.794871794871795,0.7319579790745534,2.230769230769231,1.2868062967456018,4.606060606060606,0.7044232543095955,3.909090909090909,1.3775802236992492,3.4545454545454546,1.5630680785499453,0.8367
licenseplate,BOSS-2014 (v.2),0.0,0.0,0.024390243902439025,License Plate,0.85,4,0.7975846798245739,Vehicle,0.5454545454545454,2.042616845844465,,4.829268292682927,0.3809487514345085,1.5365853658536586,0.7449013684914854,4.125,1.128801819801464,3.4375,1.189673308368798,1.9696969696969697,1.42488702369803,0.8361
lip,BOSS-2014 (v.2),0.0,0.0,0.0,lips,0.8571428571428571,4,0.7704769453520163,Bodypart,1.0,0.0,Human body part,4.9523809523809526,0.2155402687045224,2.3333333333333335,1.4925288192938737,4.125,1.128801819801464,4.15625,1.2978735710582958,4.117647058823529,1.200118829529429,0.8358
pencil01,BOSS-2010 (v.1),0.0,0.0,0.0,pencil,0.9736842105263158,2,0.17556502585750272,Stationary & school supply,0.9393939393939394,0.39045213081320695,,4.666666666666667,0.8056815791722824,1.8717948717948718,0.8328608647145149,4.696969696969697,0.6366341416410458,3.9696969696969697,1.2370541743606183,3.484848484848485,1.563673801525036,0.8338
zipper,BOSS-2014 (v.2),0.0,0.0,0.0,zipper,1.0,1,0.0,Clothing,0.9393939393939394,0.39045213081320695,,4.833333333333333,0.5372316876161185,2.142857142857143,1.2010448412950259,3.8666666666666667,1.105888107245541,3.066666666666667,1.311312407431981,4.235294117647059,0.7807852895958005,0.8309
strawberry,BOSS-2010 (v.1),0.0,0.0,0.0,strawberry,1.0,1,0.0,Food,0.90625,0.5349547231656377,"Fruit, vegetable, nut",4.641025641025641,0.7775528239689437,2.1025641025641026,0.9945872403552455,4.848484848484849,0.36410954062720985,4.696969696969697,0.7699370300894945,1.5454545454545454,1.0923286218816288,0.829
toilet,BOSS-2014 (v.2),0.0,0.0,0.0,Toilet,0.9047619047619048,3,0.5309809224687668,Skincare & bathroom item,0.75,1.2876878900165245,,4.928571428571429,0.2606611802150089,2.238095238095238,1.1220522097657426,3.84375,1.1390254748064526,3.71875,1.2243332616097102,4.529411764705882,0.6621953441370546,0.8286
fortunecookie,BOSS-2014 (v.2),0.0,0.023809523809523808,0.0,fortune cookie,0.975609756097561,2,0.16542703399626696,Food,0.9393939393939394,0.39045213081320695,,4.642857142857143,0.5768471316045676,1.7619047619047619,0.8207528908152862,4.625,0.7071067811865476,4.125,1.157026221578126,2.9705882352941178,1.2906492168941643,0.8273
envelope03a,BOSS-2010 (v.1),0.0,0.0,0.0,envelope,1.0,1,0.0,Stationary & school supply,0.9375,0.3997900666170139,,4.605263157894737,0.6794064851909257,1.8157894736842106,0.9824201544584691,4.696969696969697,0.7699370300894945,3.242424242424242,1.3235913037618294,3.1818181818181817,1.467449859759812,0.8226
key07,BOSS-2014 (v.2),0.0,0.0,0.0,keys,0.8095238095238095,5,1.047471908330225,Household article & cleaner,0.5757575757575758,2.0074123690628456,,4.880952380952381,0.39523879490023917,1.951219512195122,1.0712427248806669,4.125,1.128801819801464,3.90625,1.3040724054705235,3.9705882352941178,1.114240986872721,0.817
hand01b,BOSS-2014 (v.2),0.0,0.0,0.0,hand,0.8095238095238095,4,0.9046147654730822,Bodypart,0.96875,0.2006223243127146,Human body part,4.928571428571429,0.462910049886277,2.4523809523809526,1.6409750366315299,4.28125,1.084624953761705,3.90625,1.3285785515888533,4.117647058823529,1.3431014736897022,0.8149
